2025-07-11 17:27:29 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(average_latency, Column)
2025-07-11 17:27:29 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(channel_settings, Column)
2025-07-11 17:27:29 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(backup_channels, Column)
2025-07-11 17:27:29 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(forward_to, Column)
2025-07-11 17:27:29 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(created_at, Column)
2025-07-11 17:27:29 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) _configure_property(updated_at, Column)
2025-07-11 17:27:29 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<output_channels>, primary_key=True, nullable=False)])
2025-07-11 17:27:29 | INFO     | logging:callHandlers:1736 - (OutputChannel|output_channels) constructed
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(alerts, _RelationshipDeclared)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(mentions, _RelationshipDeclared)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(output_channels, _RelationshipDeclared)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(id, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(type, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(identifier, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(name, Column)
2025-07-11 17:33:39 | INFO     | logging:callHandlers:1736 - (MonitoredSource|monitored_sources) _configure_property(is_active, Column)
